Inv No,Date,TOI,Product Desc,Quantity,Unit,Currency,Rate,RITC,PMV,PMV Currency,Exim Scheme,NFEI Category,Manufacturer,Manufacturer Addr,Manufacturer CodeType,Manufacturer Code,Manufacturer Cntry,Manufacturer State,Manuf Postal Code,SourceState,TransitCntry,End Use,IGST Pay Status,IGST Taxable Amt,IGST Rate,Reward Item,DEEC Regn No,DEEC Regn Date,DEEC Item SNo(Part E),DEEC Export Qty,DEEC Item SNo(Part C),DEEC Item Type,DEEC Item Desc,DEEC Qty,DEEC Unit,EPCG Regn No,EPCG Regn Date,EPCG Item SNo(Part E),EPCG Export Qty,EPCG Item SNo(Part C),EPCG Item Type,EPCG Item Desc,EPCG Qty,EPCG Unit,DBK Sr. No,DBK QTY,DBK Under,DFIA Regn No,DFIA Regn Date,DFIA Exp Item SNo,DFIA Export Qty,DFIA Imp Item SNo,DFIA Item Type,DFIA Item Desc,DFIA Qty,DFIA Unit,DFRC Regn No,DFRC Prod Group,DFRC SION Sr No,DFRC SION IONorm SNo,DFRC Qty,DFRC Unit,DFRC Item Type,DFRC Item Description,DFRC Tech. Details,Re-Exp BE No,Re-Exp BE Date,Re-Exp Inv SNo,Re-Exp Item SNo,Re-Exp Imp Port Code,Re-Exp Manual BE,Re-Exp BE Item Desc.,Re-Exp Qty Imported,Re-Exp Unit,Re-Exp Assessable Value,Re-Exp Tot Duty Paid,Re-Exp Duty Paid On,Re-Exp Qty Exported,Re-Exp Unit,Re-Exp Tech. Details,Re-Exp Input Credit Availed,Re-Exp Personal Use Item,Re-Exp Othr Identifying Params,Re-Exp Obligation No.,Re-Exp DBK Amt. Claimed,Re-Exp Item Un-Used,Re-Exp Commissioner Permission,Re-Exp Board No.,Re-Exp Board Date,Re-Exp MODVAT Availed,Re-Exp MODVAT Reversed,Product Material Code,IGST Amount,TP Exporter Name, TP Exporter IE Code,TP Exporter BrS_No.,TP Exporter  Reg Type,TP Exporter  Reg No,TP Exporter Addr,SQC Qty,SQC Unit,CompCessRate,Origin District,PTAFTA Code,PerNoOfUnitsForItemRate,RoDTEP Status ,RoDTEP QTY,RoDTEP Unit,Medicinal Plant,Formulation,Surface Material in Contact,GST Allowed,LGD Code
100008458,06.03.2026,C&F,Parts & Components of Passenger Car - Part no. 6JM857551B 2WJ  SUN VISOR,60,PCS,EUR,3.34,87089900,,,19,,,,,,,,,,,GN200,LUT ,,,YES,,,,,,,,,,,,,,,,,,,870899B,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.94,KGS,,,NCPTI ,,Y,14.94,KGS,,,,,
100008458,06.03.2026,C&F,Parts & Components of Passenger Car - Part no. 6JM857552C 2WJ  SUN VISOR,60,PCS,EUR,4.41,87089900,,,19,,,,,,,,,,,GN200,LUT ,,,YES,,,,,,,,,,,,,,,,,,,870899B,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.18,KGS,,,NCPTI ,,Y,18.18,KGS,,,,,
100008458,06.03.2026,C&F,Parts & Components of Passenger Car - Part no. 6JM857537B A9W  COVER,12,PCS,EUR,3.65,70091010,,,19,,,,,,,,,,,GN200,LUT ,,,YES,,,,,,,,,,,,,,,,,,,700999B,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.668,KGS,,,NCPTI ,,Y,1.668,KGS,,,,,
100008458,06.03.2026,C&F,Parts & Components of Passenger Car - Part no. 6JM857538B A9W  COVER,12,PCS,EUR,3.65,70091010,,,19,,,,,,,,,,,GN200,LUT ,,,YES,,,,,,,,,,,,,,,,,,,700999B,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.668,KGS,,,NCPTI ,,Y,1.668,KGS,,,,,
100008458,06.03.2026,C&F,Parts & Components of Passenger Car - Part no. 5QP501117A  STUB AXLE,144,PCS,EUR,5.02,87089400,,,19,,,,,,,,,,,GN200,LUT ,,,YES,,,,,,,,,,,,,,,,,,,870899B,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.256,KGS,,,NCPTI ,,Y,122.256,KGS,,,,,
100008458,06.03.2026,C&F,Parts & Components of Passenger Car - Part no. 6JM959855  WHS  SWITCH,126,PCS,EUR,1.88,85365090,,,19,,,,,,,,,,,GN200,LUT ,,,YES,,,,,,,,,,,,,,,,,,,853699B,126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126,NOS,,,NCPTI ,,Y,126,NOS,,,,,
100008458,06.03.2026,C&F,Parts & Components of Passenger Car - Part no. 6JM947419  RETRO-REFLECTOR,1000,PCS,EUR,0.13,39199090,,,19,,,,,,,,,,,GN200,LUT ,,,YES,,,,,,,,,,,,,,,,,,,3919B,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,KGS,,,NCPTI ,,Y,2,KGS,,,,,
100008458,06.03.2026,C&F,Parts & Components of Passenger Car - Part no. 5QP121049C  COOLANT HOSE,18,PCS,EUR,18.61,87089900,,,19,,,,,,,,,,,GN200,LUT ,,,YES,,,,,,,,,,,,,,,,,,,870899B,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.782,KGS,,,NCPTI ,,Y,19.782,KGS,,,,,
100008458,06.03.2026,C&F,Parts & Components of Passenger Car - Part no. 5QP121367A  RADIATOR MOUNT,255,PCS,EUR,0.58,87089900,,,19,,,,,,,,,,,GN200,LUT ,,,YES,,,,,,,,,,,,,,,,,,,870899B,255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.965,KGS,,,NCPTI ,,Y,10.965,KGS,,,,,
100008458,06.03.2026,C&F,"Parts & Components of Passenger Car - Part no. 5JN857562  2VX  MOUNTING,INNER",500,PCS,EUR,0.15,87081090,,,19,,,,,,,,,,,GN200,LUT ,,,YES,,,,,,,,,,,,,,,,,,,870899B,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,KGS,,,NCPTI ,,Y,5,KGS,,,,,
100008458,06.03.2026,C&F,Parts & Components of Passenger Car - Part no. 5JN857563  2VX  COVER,500,PCS,EUR,0.07,87081090,,,19,,,,,,,,,,,GN200,LUT ,,,YES,,,,,,,,,,,,,,,,,,,870899B,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,KGS,,,NCPTI ,,Y,2,KGS,,,,,
100008458,06.03.2026,C&F,Parts & Components of Passenger Car - Part no. 5QP953507E ASS  CONTROL MODULE,36,PCS,EUR,18.21,85365090,,,19,,,,,,,,,,,GN200,LUT ,,,YES,,,,,,,,,,,,,,,,,,,853699B,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,NOS,,,NCPTI ,,Y,36,NOS,,,,,
100008458,06.03.2026,C&F,Parts & Components of Passenger Car - Part no. 6JM857551B 2WJ  SUN VISOR,60,PCS,EUR,3.34,87089900,,,19,,,,,,,,,,,GN200,LUT ,,,YES,,,,,,,,,,,,,,,,,,,870899B,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.94,KGS,,,NCPTI ,,Y,14.94,KGS,,,,,
100008458,06.03.2026,C&F,Parts & Components of Passenger Car - Part no. 6JM857552C 2WJ  SUN VISOR,60,PCS,EUR,4.41,87089900,,,19,,,,,,,,,,,GN200,LUT ,,,YES,,,,,,,,,,,,,,,,,,,870899B,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.18,KGS,,,NCPTI ,,Y,18.18,KGS,,,,,
